SalaryID,EmployeeID,BaseSalary,Bonus,EffectiveDate
1,1,50500.00,5050.00,2026-01-01
2,2,51000.00,5100.00,2026-01-01
3,3,51500.00,5150.00,2026-01-01
4,4,52000.00,5200.00,2026-01-01
5,5,52500.00,5250.00,2026-01-01
6,6,53000.00,5300.00,2026-01-01
7,7,53500.00,5350.00,2026-01-01
8,8,54000.00,5400.00,2026-01-01
9,9,54500.00,5450.00,2026-01-01
10,10,55000.00,5500.00,2026-01-01
11,11,55500.00,5550.00,2026-01-01
12,12,56000.00,5600.00,2026-01-01
13,13,56500.00,5650.00,2026-01-01
14,14,57000.00,5700.00,2026-01-01
15,15,57500.00,5750.00,2026-01-01
16,16,58000.00,5800.00,2026-01-01
17,17,58500.00,5850.00,2026-01-01
18,18,59000.00,5900.00,2026-01-01
19,19,59500.00,5950.00,2026-01-01
20,20,60000.00,6000.00,2026-01-01
21,21,60500.00,6050.00,2026-01-01
22,22,61000.00,6100.00,2026-01-01
23,23,61500.00,6150.00,2026-01-01
24,24,62000.00,6200.00,2026-01-01
25,25,62500.00,6250.00,2026-01-01
26,26,63000.00,6300.00,2026-01-01
27,27,63500.00,6350.00,2026-01-01
28,28,64000.00,6400.00,2026-01-01
29,29,64500.00,6450.00,2026-01-01
30,30,65000.00,6500.00,2026-01-01
31,31,65500.00,6550.00,2026-01-01
32,32,66000.00,6600.00,2026-01-01
33,33,66500.00,6650.00,2026-01-01
34,34,67000.00,6700.00,2026-01-01
35,35,67500.00,6750.00,2026-01-01
36,36,68000.00,6800.00,2026-01-01
37,37,68500.00,6850.00,2026-01-01
38,38,69000.00,6900.00,2026-01-01
39,39,69500.00,6950.00,2026-01-01
40,40,70000.00,7000.00,2026-01-01
41,41,70500.00,7050.00,2026-01-01
42,42,71000.00,7100.00,2026-01-01
43,43,71500.00,7150.00,2026-01-01
44,44,72000.00,7200.00,2026-01-01
45,45,72500.00,7250.00,2026-01-01
46,46,73000.00,7300.00,2026-01-01
47,47,73500.00,7350.00,2026-01-01
48,48,74000.00,7400.00,2026-01-01
49,49,74500.00,7450.00,2026-01-01
50,50,75000.00,7500.00,2026-01-01
51,51,75500.00,7550.00,2026-01-01
52,52,76000.00,7600.00,2026-01-01
53,53,76500.00,7650.00,2026-01-01
54,54,77000.00,7700.00,2026-01-01
55,55,77500.00,7750.00,2026-01-01
56,56,78000.00,7800.00,2026-01-01
57,57,78500.00,7850.00,2026-01-01
58,58,79000.00,7900.00,2026-01-01
59,59,79500.00,7950.00,2026-01-01
60,60,80000.00,8000.00,2026-01-01
61,61,80500.00,8050.00,2026-01-01
62,62,81000.00,8100.00,2026-01-01
63,63,81500.00,8150.00,2026-01-01
64,64,82000.00,8200.00,2026-01-01
65,65,82500.00,8250.00,2026-01-01
66,66,83000.00,8300.00,2026-01-01
67,67,83500.00,8350.00,2026-01-01
68,68,84000.00,8400.00,2026-01-01
69,69,84500.00,8450.00,2026-01-01
70,70,85000.00,8500.00,2026-01-01
71,71,85500.00,8550.00,2026-01-01
72,72,86000.00,8600.00,2026-01-01
73,73,86500.00,8650.00,2026-01-01
74,74,87000.00,8700.00,2026-01-01
75,75,87500.00,8750.00,2026-01-01
76,76,88000.00,8800.00,2026-01-01
77,77,88500.00,8850.00,2026-01-01
78,78,89000.00,8900.00,2026-01-01
79,79,89500.00,8950.00,2026-01-01
80,80,90000.00,9000.00,2026-01-01
81,81,90500.00,9050.00,2026-01-01
82,82,91000.00,9100.00,2026-01-01
83,83,91500.00,9150.00,2026-01-01
84,84,92000.00,9200.00,2026-01-01
85,85,92500.00,9250.00,2026-01-01
86,86,93000.00,9300.00,2026-01-01
87,87,93500.00,9350.00,2026-01-01
88,88,94000.00,9400.00,2026-01-01
89,89,94500.00,9450.00,2026-01-01
90,90,95000.00,9500.00,2026-01-01
91,91,95500.00,9550.00,2026-01-01
92,92,96000.00,9600.00,2026-01-01
93,93,96500.00,9650.00,2026-01-01
94,94,97000.00,9700.00,2026-01-01
95,95,97500.00,9750.00,2026-01-01
96,96,98000.00,9800.00,2026-01-01
97,97,98500.00,9850.00,2026-01-01
98,98,99000.00,9900.00,2026-01-01
99,99,99500.00,9950.00,2026-01-01
100,100,100000.00,10000.00,2026-01-01
101,101,100500.00,10050.00,2026-01-01
102,102,101000.00,10100.00,2026-01-01
103,103,101500.00,10150.00,2026-01-01
104,104,102000.00,10200.00,2026-01-01
105,105,102500.00,10250.00,2026-01-01
106,106,103000.00,10300.00,2026-01-01
107,107,103500.00,10350.00,2026-01-01
108,108,104000.00,10400.00,2026-01-01
109,109,104500.00,10450.00,2026-01-01
110,110,105000.00,10500.00,2026-01-01
111,111,105500.00,10550.00,2026-01-01
112,112,106000.00,10600.00,2026-01-01
113,113,106500.00,10650.00,2026-01-01
114,114,107000.00,10700.00,2026-01-01
115,115,107500.00,10750.00,2026-01-01
116,116,108000.00,10800.00,2026-01-01
117,117,108500.00,10850.00,2026-01-01
118,118,109000.00,10900.00,2026-01-01
119,119,109500.00,10950.00,2026-01-01
120,120,110000.00,11000.00,2026-01-01
121,121,110500.00,11050.00,2026-01-01
122,122,111000.00,11100.00,2026-01-01
123,123,111500.00,11150.00,2026-01-01
124,124,112000.00,11200.00,2026-01-01
125,125,112500.00,11250.00,2026-01-01
126,126,113000.00,11300.00,2026-01-01
127,127,113500.00,11350.00,2026-01-01
128,128,114000.00,11400.00,2026-01-01
129,129,114500.00,11450.00,2026-01-01
130,130,115000.00,11500.00,2026-01-01
131,131,115500.00,11550.00,2026-01-01
132,132,116000.00,11600.00,2026-01-01
133,133,116500.00,11650.00,2026-01-01
134,134,117000.00,11700.00,2026-01-01
